Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
The Monist,2153-3601,Hybrid,yes,,Humanities,OUP,2025-2027
The Musical Quarterly,1741-8399,Hybrid,yes,,Humanities,OUP,2025-2027
The Opera Quarterly,1476-2870,Hybrid,yes,,Humanities,OUP,2025-2027
The Philosophical Quarterly,1467-9213,Hybrid,yes,,Humanities,OUP,2025-2027
The Quarterly Journal of Economics,1531-4650,Hybrid,yes,,Social Sciences,OUP,2025-2027
The Quarterly Journal Of Mathematics,1464-3847,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
The Review Of Financial Studies,1465-7368,Hybrid,yes,,Social Sciences,OUP,2025-2027
The World Bank Economic Review,1564-698X,Hybrid,yes,,Social Sciences,OUP,2025-2027
The World Bank Research Observer,1564-6971,Hybrid,yes,,Social Sciences,OUP,2025-2027
Toxicological Sciences,1096-0929,Hybrid,yes,,"Medicine, Science & Mathematics",OUP,2025-2027
Toxicology Research,2045-4538,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Transactions of the Royal Society of Tropical Medicine and Hygiene,1878-3503,Hybrid,yes,,Medicine,OUP,2025-2027
Translational Behavioral Medicine,1613-9860,Hybrid,yes,,Medicine,OUP,2025-2027
Tree Physiology,1758-4469,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Trusts & Trustees,1752-2110,Hybrid,yes,,Law,OUP,2025-2027
"Work, Aging and Retirement",2054-4650,Hybrid,yes,,Social Sciences,OUP,2025-2027
Yearbook of European Law,2045-0044,Hybrid,yes,,Law,OUP,2025-2027
Yearbook of International Environmental Law,2045-0052,Hybrid,yes,,Law,OUP,2025-2027
Zoological Journal of the Linnean Society,1096-3642,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Aesthetic Surgery Journal,1527-330X,Hybrid,yes,,Medicine,OUP,2025-2027
Aesthetic Surgery Journal Open Forum,2631-4797,Gold OA,No,Discounted ,Medicince,OUP,2025-2027
African Affairs,1468-2621,Hybrid,yes,,Social Sciences,OUP,2025-2027
Age And Ageing,1468-2834,Hybrid,yes,,Medicine,OUP,2025-2027
Alcohol And Alcoholism,1464-3502,Hybrid,yes,,"Medicine, Science & Mathematics, Social Sciences",OUP,2025-2027
American Entomologist,2155-9902,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
American Historical Review,1937-5239,Hybrid,Yes,,,OUP,2025-2027
American Journal of Clinical Pathology,1943-7722,Hybrid,yes,,"Medicine, Science & Mathematics",OUP,2025-2027
American Journal of Comparative Law,2326-9197,Hybrid,yes,,Law,OUP,2025-2027
American Journal Of Epidemiology,1476-6256,Hybrid,yes,,Medicine,OUP,2025-2027
American Journal of Health-System Pharmacy,1535-2900,Hybrid,yes,,Medicine,OUP,2025-2027
American Journal of Hypertension,1941-7225,Hybrid,yes,,Medicine,OUP,2025-2027
American Journal of Legal History,2161-797X,Hybrid,yes,,Law,OUP,2025-2027
American Law And Economics Review,1465-7260,Hybrid,yes,,Law,OUP,2025-2027
American Literary History,1468-4365,Hybrid,yes,,Humanities,OUP,2025-2027
Analysis,1467-8284,Hybrid,yes,,Humanities,OUP,2025-2027
Animal Frontiers,2160-6064,Gold OA,No,Discounted ,Science & Mathematics,OUP,2025-2027
Annals of Behavioral Medicine,1532-4796,Hybrid,yes,,Medicine,OUP,2025-2027
Annals Of Botany,1095-8290,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Annals of the Entomological Society of America,1938-2901,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Annals of Work Exposures and Health,2398-7316,Hybrid,yes,,"Medicine, Science & Mathematics",OUP,2025-2027
Antibody Therapeutics,2516-4236,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
AoB PLANTS,2041-2851,Gold OA,No,Discounted ,Science & Mathematics,OUP,2025-2027
Applied Linguistics,1477-450X,Hybrid,yes,,Humanities,OUP,2025-2027
Arbitration International,1875-8398,Hybrid,yes,,Law,OUP,2025-2027
Archives of Clinical Neuropsychology,1873-5843,Hybrid,yes,,Medicine,OUP,2025-2027
Aristotelian Society Supplementary Volume,1467-8349,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Art History,1467-8365,Hybrid,Yes,,Humanities,OUP,2025-2027
Arthropod Management Tests,2155-9856,Gold OA,No,Discounted ,Science & Mathematics,OUP,2025-2027
Astronomy & Geophysics,1468-4004,No OA,No,Subscription,Science & Mathematics,OUP,2025-2027
Behavioral Ecology,1465-7279,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Biological Journal of the Linnean Society,1095-8312,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Biology Methods & Protocols,2396-8923,Gold OA,No,Discounted ,Life Science,OUP,2025-2027
Biology of Reproduction,1529-7268,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Biometrika,1464-3510,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
BioScience,1525-3244,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
"Bioscience, Biotechnology, and Biochemistry",1347-6947,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Biostatistics,1468-4357,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
